
// ================================================================================================================================================================
// General Pool
// ================================================================================================================================================================

---- LW2WotC_ShootAnyone:  Shoot Anyone.
::  LW2WotC Main mod

---- LW2WotC_CenterMass:  You do <Ability:CENTERMASS_DAMAGE/> additional point of base damage when using guns.
::  LW2WotC Main mod
# Guns

---- LW2WotC_HitandSlither:  Gain an additional move action after taking a standard shot at a flanked or exposed target with your primary weapon. <Ability:HNR_USES_PER_TURN/>
::  LW2WotC Main mod

---- LW2WotC_DamnGoodGround:  Confers +<Ability:DGG_AIM_BONUS/> aim and +<Ability:DGG_DEF_BONUS/> defense against targets at a lower elevation.
::  LW2WotC Main mod


---- LW2WotC_Resilience:  Enemy attacks against you suffer a -<Ability:RESILIENCE_CRITDEF_BONUS/> penalty to critical hit chances.
::  LW2WotC Main mod

---- LW2WotC_TacticalSense:  Gain +<Ability:TACTICAL_SENSE_DEF_BONUS_PER_ENEMY/> defense for each enemy you can see, up to a maximum of +<Ability:TACTICAL_SENSE_MAX_DEF_BONUS/> defense.
::  LW2WotC Main mod



---- LW2WotC_WilltoSurvive:  Enemy damage is reduced when in cover and attacked through that cover. High cover reduces damage by <Ability:W2S_HIGH_COVER_ARMOR_BONUS/>. Low cover reduces damage by <Ability:W2S_LOW_COVER_ARMOR_BONUS/>. Also grants <Ability:WILLTOSURVIVE_WILLBONUS/> will.
::  LW2WotC Main mod

---- LW2WotC_LightEmUp:  Taking a standard shot with your primary weapon as your first action no longer ends your turn.
::  LW2WotC Main mod




---- LW2WotC_HyperReactivePupils:  Gain +<Ability:HYPERREACTIVE_PUPILS_AIM_BONUS/> aim for your next shot with your primary weapon after a miss.
::  LW2WotC Main mod



---- LW2WotC_TraverseFire:  After taking a standard shot with your primary weapon with your first action, you may take an additional non-movement action.
::  LW2WotC Main mod


---- LW2WotC_PrecisionShot:  Take a special shot with +<Ability:PRECISION_SHOT_CRIT_BONUS> bonus to critical chance and <Ability:PRECISION_SHOT_CRIT_DAMAGE_PERCENT_BONUS>% bonus critical damage. <Ability:PRECISION_SHOT_COOLDOWN> turn cooldown. Uses <Ability:PRECISION_SHOT_AMMO_COST> ammo.
::  LW2WotC Main mod

---- LW2WotC_PrecisionShot_Bonuses:  Take a special shot with +<Ability:PRECISION_SHOT_CRIT_BONUS> bonus to critical chance and <Ability:PRECISION_SHOT_CRIT_DAMAGE_PERCENT_BONUS>% bonus critical damage. <Ability:PRECISION_SHOT_COOLDOWN> turn cooldown. Uses <Ability:PRECISION_SHOT_AMMO_COST> ammo.
::  LW2WotC Main mod

---- LW2WotC_Covert:  Enemies have <Ability:COVERT_DETECTION_RANGE_REDUCTION>% smaller detection range against you.
::  LW2WotC Main mod

---- LW2WotC_DamageControl:  After taking damage, gain <Ability:DAMAGE_CONTROL_BONUS_ARMOR> armor through the end of the turn.
::  LW2WotC Main mod

---- LW2WotC_RapidDeployment:  Activate this ability before throwing or launching a support grenade, and the throw will not cost an action. <Ability:RAPID_DEPLOYMENT_COOLDOWN> turn cooldown.
::  LW2WotC Main mod



---- LW2WotC_LightningReflexes:  Reaction fire shots against you have a significantly decreased chance to hit. The bonus goes down with each additional reaction shot you face.
::  LW2WotC Main mod

---- LW2WotC_RunAndGun:  Take an action after dashing.
::  LW2WotC Main mod

---- LW2WotC_KillerInstinct:  Activating Run & Gun grants +<Ability:KILLER_INSTINCT_CRIT_DAMAGE_BONUS_PCT>% critical damage for the rest of the turn.
::  LW2WotC Main mod

---- LW2WotC_ExtraConditioning:  Run and Gun cooldown is reduced by <Ability:EXTRA_CONDITIONING_COOLDOWN_REDUCTION> turn.
::  LW2WotC Main mod

---- LW2WotC_GrazingFire:  Missed shots with your primary weapon have an additional roll to become a graze.
::  LW2WotC Main mod

---- LW2WotC_CombatFitness:  Gain <ABILITY:COMBAT_FITNESS_OFFENSE/> aim, <ABILITY:COMBAT_FITNESS_MOBILITY/> mobility, <ABILITY:COMBAT_FITNESS_HP/> HP, <ABILITY:COMBAT_FITNESS_WILL/> will, and <ABILITY:COMBAT_FITNESS_DODGE/> dodge.
::  LW2WotC Main mod

---- LW2WotC_Sprinter:  Gain <ABILITY:SPRINTER_MOBILITY/> mobility.
::  LW2WotC Main mod

---- LW2WotC_AlphaMikeFoxtrot:  You do <Ability:ALPHAMIKEFOXTROT_DAMAGE/> additional points of base damage with your primary weapon.
::  LW2WotC Main mod

---- LW2WotC_BoostedCores:  Explosive grenades do <Ability:BOOSTED_CORES_DAMAGE> additional damage.
::  LW2WotC Main mod

---- LW2WotC_VolatileMix:  Your grenades' area of effect is increased by one tile.
::  LW2WotC Main mod

---- LW2WotC_CyclicFire:  Special Shot: Fire <Ability:CYCLIC_FIRE_SHOTS> shots at a target in a single attack. Requires <Ability:CYCLIC_FIRE_MIN_ACTION_REQ> actions and all shots have aim penalties. <Ability:CYCLIC_FIRE_COOLDOWN> turn cooldown.
::  LW2WotC Main mod

---- LW2WotC_Kubikuri:  Special shot against most enemies who have taken any damage: Any critical hit kills them, but regular hits do half damage. Requires <Ability:KUBIKURI_MIN_ACTION_REQ> actions and has a <Ability:KUBIKURI_COOLDOWN> turn cooldown.
::  LW2WotC Main mod

---- LW2WotC_Evasive:  Start each mission with 100 bonus dodge. The bonus is removed after you take damage for the first time.
::  LW2WotC Main mod

---- LW2WotC_Evasive_Remover:  Start each mission with 100 bonus dodge. The bonus is removed after you take damage for the first time.
::  LW2WotC Main mod

---- LW2WotC_CombatRush:  When you kill an enemy, nearby allies temporarily receive bonuses to aim, critical chance and mobility. <Ability:COMBAT_RUSH_COOLDOWN> turn cooldown.
::  LW2WotC Main mod

---- LW2WotC_FullKit:  Grants +<Ability:FULL_KIT_BONUS> charge per grenade item in a utility slot.
::  LW2WotC Main mod


---- LW2WotC_Savior:  Healing abilities restore <Ability:SAVIOR_BONUS_HEAL_AMMOUNT> additional hit points.
::  LW2WotC Main mod

---- LW2WotC_HeavyOrdnance:  Any damaging grenade in your grenade-only slot gains <Ability:HEAVY_ORDNANCE_BONUS_CHARGES> bonus use.
::  LW2WotC Main mod

---- LW2WotC_Protector:  Any non-damaging grenade in your grenade-only slot gains <Ability:PROTECTOR_BONUS_CHARGES> bonus use.
::  LW2WotC Main mod

---- LW2WotC_HEATWarheads:  Your explosives now pierce up to <Ability:HEAT_WARHEADS_PIERCE> points of armor and shred <Ability:HEAT_WARHEADS_SHRED> additional point of armor.
::  LW2WotC Main mod

---- LW2WotC_EmergencyLifeSupport:  Emergency Life Support ensures the first killing blow in a mission will not lead to instant death. It also extends the time before the soldier bleeds out and dies.
::  LW2WotC Main mod

---- LW2WotC_SmartMacrophages:  Heals injuries after a battle, lowering wound recovery time, and confers immunity to poison and acid.
::  LW2WotC Main mod


---- LW2WotC_Trojan:  Enemy units that are hacked take damage and lose their actions on the turn the hack effect ends.
::  LW2WotC Main mod

---- LW2WotC_IronCurtain:  Special shot that does <Ability:IRON_CURTAIN_DAMAGE_MODIFIER>% damage but reduces target mobility for the following <Ability:IRON_CURTAIN_MOB_DAMAGE_DURATION> turns. Cone-based attack with primary weapon. <Ability:IRON_CURTAIN_COOLDOWN> turn cooldown.
::  LW2WotC Main mod

---- LW2WotC_BodyShield:  A targeted enemy receives -<Ability:BODY_SHIELD_DEF_BONUS> aim and -<Ability:BODY_SHIELD_ENEMY_CRIT_MALUS> critical chance against the soldier. <Ability:BODY_SHIELD_COOLDOWN> turn cooldown.
::  LW2WotC Main mod

---- LW2WotC_ImpactFields:  Activate a force field that reduces incoming damage by <Ability:IMPACT_FIELDS_DAMAGE_REDUCTION_PCT>% for <Ability:IMPACT_FIELDS_DURATION> turns. <Ability:IMPACT_FIELDS_COOLDOWN> turn cooldown.
::  LW2WotC Main mod

---- LW2WotC_Flush:  Special shot with a bonus to hit that does little or no damage but confers defense and dodge penalties and forces target to change position if it hits.
::  LW2WotC Main mod
# Guns
* Shot

---- LW2WotC_FullOverride:  Take permanent control of a robotic unit.
::  LW2WotC Main mod
* Hack
* vs Robotic

---- LW2WotC_SteadyWeapon:  Gain +<Ability:STEADY_WEAPON_AIM_BONUS> aim on your next shot with your primary weapon. Bonus is lost if you use actions or are wounded.
::  LW2WotC Main mod

---- LW2WotC_Bombardier:  You may throw or launch grenades <Ability:BOMBARDIER_BONUS_RANGE_TILES> additional tiles.
::  LW2WotC Main mod

---- LW2WotC_Failsafe:  If you fail a hack, you prevent any negative effects from occurring.
::  LW2WotC Main mod

---- LW2WotC_MindMerge:  Grants bonus will, critical chance and ablative hit points to an ally until the beginning of the player's next turn.
::  LW2WotC Main mod

---- LW2WotC_SoulMerge:  Increases effectiveness of Mind Merge by conferring larger bonuses to critical chance, will and ablative hit points, and reducing its cooldown period.
::  LW2WotC Main mod

---- LW2WotC_Solace:  The Psi Operative may immediately extinguish mental impairments for a squadmate.
::  LW2WotC Main mod

---- LW2WotC_Sapper:  Your explosives can destroy many cover objects.
::  LW2WotC Main mod

---- LW2WotC_NeedleGrenades:  Your explosives do not destroy loot when they kill enemies.
::  LW2WotC Main mod

---- InTheZone:  A powerful chained shot ability. For every kill made with your <Ability:WeaponName/>, your actions will be refunded.
::  LW2WotC Main mod

---- Fuse:  If an enemy is carrying explosives, they can be remotely detonated by the Psi Operative.
::  LW2WotC Main mod

---- BulletShred:  A Rupture shot deals critical damage and ensures that the target takes an additional +<Ability:RuptureAmount/> damage from all attacks in the future.
::  LW2WotC Main mod

---- Stealth:  Immediately enter concealment once per mission.
::  LW2WotC Main mod

---- SoulSteal:  Soulfire transfers half of the damage done back to the Psi Operative as health.
::  LW2WotC Main mod



---- MZBlink: short range teleport as a free action. stealthy.
:: Mitzruti's Perk Pack
* Teleport

---- MZTeleport: teleport anywhere in squadsight. stealthy.
:: Mitzruti's Perk Pack
* Teleport

---- MZBloodTeleport:  use HP to teleport anywhere in suadsight. need to be concealed.
:: Mitzruti's Perk Pack
* Teleport

---- MZDisablingSting: As sting, but stuns. requires shadow.
:: Mitzruti's Perk Pack
# Guns
* Shot

---- MZStingingGale: Ever wanted to sting everything in sight? here it is. requires shadow, 2 actions and buckets of ammo.
:: Mitzruti's Perk Pack
# Guns
* Shot

---- MZTransposition: Exhange+Invert with no focus cost. stealthy.
:: Mitzruti's Perk Pack


---- MZRendFleche: rend skills do bonus damage based on distance traveled, like lw2 fleche.
:: Mitzruti's Perk Pack

---- MZVoidShock: single target volt, no focuss cost.
:: Mitzruti's Perk Pack

---- MZKineticLance: damage and knockback targets in a line.
:: Mitzruti's Perk Pack

---- MZAccurateReaction: Bonus to aim with reaction shots.
:: Mitzruti's Perk Pack

---- GrimyAirBurst: launched grenades have larger radius
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Launcher

---- GrimyDeadlyHaze: grenades debuff enemy damage
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Grenades

---- GrimyGrenadeShredder: grenades shred more armour
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Grenades
* Shred

---- GrimyLightOrdnance: carry more grenades, but they do 50% less damage.
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Grenades

---- GrimySadist: increases uses of skullmine
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
* Enhance: Skullmine

---- GrimyShellShock: grenades may stun
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Grenades

---- GrimyShredderGun : grants a shredder gun
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Extra Equipment
* Shred

---- GrimyVileConcoctions: DoT effects of grenades do more damage
:: Mitzruti's Perk Pack
:: Grimy's Anarchist
# Grenades


---- GrimyDrawFire: sacrifice def to buff armour and ally def.
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
* Armor

---- GrimyGunPoint: hold a flankable enemy at gunpoint, stunning them and using them as cover.
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
* Stun
@ Gung-Ho

---- GrimySpotter: return fire that marks enemies. 1/enemy/turn
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
* Reaction
* Mark
@ Stalker
@ Cover Girl

---- GrimyBolsterPassive: gunpoint grants armour buff
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
* Armor
* Enhance: GrimyGunPoint
@ Gung-Ho

---- GrimyIntimidationPassive: survival/spotter reduce enemy aim
:: Mitzruti's Perk Pack
:: Grimy's Bruiser
@ Cover Girl

---- GrimyEnrage: when injured, start turn with run and gun.
:: Mitzruti's Perk Pack
:: Grimy's Bruiser


---- GrimyStrafe: gain strafe AP on move. strafing fire doe 50% damage, uses strafe AP.
:: Mitzruti's Perk Pack
:: Grimy's Fury
# Cannon
# Strafe

